,Year,State,Gender,Deaths,Population,Crude Rate
0,1999.0,Alabama,Female,96.0,2293259.0,4.2
1,1999.0,Alabama,Male,458.0,2136882.0,21.4
2,1999.0,Alaska,Female,22.0,301266.0,7.3
3,1999.0,Alaska,Male,74.0,323513.0,22.9
4,1999.0,Arizona,Female,163.0,2518299.0,6.5
5,1999.0,Arizona,Male,603.0,2505524.0,24.1
6,1999.0,Arkansas,Female,59.0,1359445.0,4.3
7,1999.0,Arkansas,Male,277.0,1292415.0,21.4
8,1999.0,California,Female,651.0,16800161.0,3.9
9,1999.0,California,Male,2420.0,16699043.0,14.5
10,1999.0,Colorado,Female,121.0,2101358.0,5.8
11,1999.0,Colorado,Male,453.0,2124660.0,21.3
12,1999.0,Connecticut,Female,57.0,1747148.0,3.3
13,1999.0,Connecticut,Male,217.0,1639253.0,13.2
14,1999.0,Delaware,Female,13.0,398732.0,Unreliable
15,1999.0,Delaware,Male,73.0,376258.0,19.4
16,1999.0,District of Columbia,Male,26.0,268416.0,9.7
17,1999.0,Florida,Female,447.0,8073847.0,5.5
18,1999.0,Florida,Male,1580.0,7685574.0,20.6
19,1999.0,Georgia,Female,175.0,4096031.0,4.3
20,1999.0,Georgia,Male,698.0,3949934.0,17.7
21,1999.0,Hawaii,Female,29.0,601830.0,4.8
22,1999.0,Hawaii,Male,107.0,608470.0,17.6
23,1999.0,Idaho,Female,36.0,636798.0,5.7
24,1999.0,Idaho,Male,145.0,638876.0,22.7
25,1999.0,Illinois,Female,199.0,6313350.0,3.2
26,1999.0,Illinois,Male,821.0,6045670.0,13.6
27,1999.0,Indiana,Female,107.0,3083351.0,3.5
28,1999.0,Indiana,Male,523.0,2961618.0,17.7
29,1999.0,Iowa,Female,50.0,1488223.0,3.4
30,1999.0,Iowa,Male,255.0,1429411.0,17.8
31,1999.0,Kansas,Female,48.0,1356044.0,3.5
32,1999.0,Kansas,Male,251.0,1322294.0,19
33,1999.0,Kentucky,Female,83.0,2056401.0,4
34,1999.0,Kentucky,Male,388.0,1961652.0,19.8
35,1999.0,Louisiana,Female,100.0,2302744.0,4.3
36,1999.0,Louisiana,Male,418.0,2158067.0,19.4
37,1999.0,Maine,Female,38.0,650598.0,5.8
38,1999.0,Maine,Male,137.0,616210.0,22.2
39,1999.0,Maryland,Female,73.0,2716928.0,2.7
40,1999.0,Maryland,Male,361.0,2537581.0,14.2
41,1999.0,Massachusetts,Female,104.0,3274830.0,3.2
42,1999.0,Massachusetts,Male,329.0,3042515.0,10.8
43,1999.0,Michigan,Female,183.0,5047770.0,3.6
44,1999.0,Michigan,Male,791.0,4849346.0,16.3
45,1999.0,Minnesota,Female,72.0,2462931.0,2.9
46,1999.0,Minnesota,Male,366.0,2410550.0,15.2
47,1999.0,Mississippi,Female,53.0,1464581.0,3.6
48,1999.0,Mississippi,Male,251.0,1363827.0,18.4
49,1999.0,Missouri,Female,136.0,2860166.0,4.8
50,1999.0,Missouri,Male,564.0,2701782.0,20.9
51,1999.0,Montana,Female,29.0,450543.0,6.4
52,1999.0,Montana,Male,133.0,446964.0,29.8
53,1999.0,Nebraska,Female,23.0,865531.0,2.7
54,1999.0,Nebraska,Male,154.0,839233.0,18.4
55,1999.0,Nevada,Female,75.0,949422.0,7.9
56,1999.0,Nevada,Male,329.0,985296.0,33.4
57,1999.0,New Hampshire,Female,27.0,621409.0,4.3
58,1999.0,New Hampshire,Male,110.0,600605.0,18.3
59,1999.0,New Jersey,Female,117.0,4304271.0,2.7
60,1999.0,New Jersey,Male,446.0,4055321.0,11
61,1999.0,New Mexico,Female,56.0,918661.0,6.1
62,1999.0,New Mexico,Male,262.0,889421.0,29.5
63,1999.0,New York,Female,254.0,9777654.0,2.6
64,1999.0,New York,Male,941.0,9105071.0,10.3
65,1999.0,North Carolina,Female,181.0,4062710.0,4.5
66,1999.0,North Carolina,Male,703.0,3886651.0,18.1
67,1999.0,North Dakota,Female,17.0,322617.0,Unreliable
68,1999.0,North Dakota,Male,56.0,321642.0,17.4
69,1999.0,Ohio,Female,202.0,5835017.0,3.5
70,1999.0,Ohio,Male,901.0,5500437.0,16.4
71,1999.0,Oklahoma,Female,100.0,1748783.0,5.7
72,1999.0,Oklahoma,Male,392.0,1688364.0,23.2
73,1999.0,Oregon,Female,80.0,1712226.0,4.7
74,1999.0,Oregon,Male,397.0,1681715.0,23.6
75,1999.0,Pennsylvania,Female,229.0,6347064.0,3.6
76,1999.0,Pennsylvania,Male,1056.0,5916741.0,17.8
77,1999.0,Rhode Island,Female,21.0,540724.0,3.9
78,1999.0,Rhode Island,Male,75.0,499678.0,15
