Notes,Year,Year Code,State,State Code,Gender,Gender Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,1,Female,F,96,2293259,4.2
,1999,1999,Alabama,1,Male,M,458,2136882,21.4
,1999,1999,Alaska,2,Female,F,22,301266,7.3
,1999,1999,Alaska,2,Male,M,74,323513,22.9
,1999,1999,Arizona,4,Female,F,163,2518299,6.5
,1999,1999,Arizona,4,Male,M,603,2505524,24.1
,1999,1999,Arkansas,5,Female,F,59,1359445,4.3
,1999,1999,Arkansas,5,Male,M,277,1292415,21.4
,1999,1999,California,6,Female,F,651,16800161,3.9
,1999,1999,California,6,Male,M,2420,16699043,14.5
,1999,1999,Colorado,8,Female,F,121,2101358,5.8
,1999,1999,Colorado,8,Male,M,453,2124660,21.3
,1999,1999,Connecticut,9,Female,F,57,1747148,3.3
,1999,1999,Connecticut,9,Male,M,217,1639253,13.2
,1999,1999,Delaware,10,Female,F,13,398732,Unreliable
,1999,1999,Delaware,10,Male,M,73,376258,19.4
,1999,1999,District of Columbia,11,Male,M,26,268416,9.7
,1999,1999,Florida,12,Female,F,447,8073847,5.5
,1999,1999,Florida,12,Male,M,1580,7685574,20.6
,1999,1999,Georgia,13,Female,F,175,4096031,4.3
,1999,1999,Georgia,13,Male,M,698,3949934,17.7
,1999,1999,Hawaii,15,Female,F,29,601830,4.8
,1999,1999,Hawaii,15,Male,M,107,608470,17.6
,1999,1999,Idaho,16,Female,F,36,636798,5.7
,1999,1999,Idaho,16,Male,M,145,638876,22.7
,1999,1999,Illinois,17,Female,F,199,6313350,3.2
,1999,1999,Illinois,17,Male,M,821,6045670,13.6
,1999,1999,Indiana,18,Female,F,107,3083351,3.5
,1999,1999,Indiana,18,Male,M,523,2961618,17.7
,1999,1999,Iowa,19,Female,F,50,1488223,3.4
,1999,1999,Iowa,19,Male,M,255,1429411,17.8
,1999,1999,Kansas,20,Female,F,48,1356044,3.5
,1999,1999,Kansas,20,Male,M,251,1322294,19
,1999,1999,Kentucky,21,Female,F,83,2056401,4
,1999,1999,Kentucky,21,Male,M,388,1961652,19.8
,1999,1999,Louisiana,22,Female,F,100,2302744,4.3
,1999,1999,Louisiana,22,Male,M,418,2158067,19.4
,1999,1999,Maine,23,Female,F,38,650598,5.8
,1999,1999,Maine,23,Male,M,137,616210,22.2
,1999,1999,Maryland,24,Female,F,73,2716928,2.7
,1999,1999,Maryland,24,Male,M,361,2537581,14.2
,1999,1999,Massachusetts,25,Female,F,104,3274830,3.2
,1999,1999,Massachusetts,25,Male,M,329,3042515,10.8
,1999,1999,Michigan,26,Female,F,183,5047770,3.6
,1999,1999,Michigan,26,Male,M,791,4849346,16.3
,1999,1999,Minnesota,27,Female,F,72,2462931,2.9
