Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
03/29/2023,01/01/2020,01/31/2020,United States,2020,1,264681,242914,3687,52635,8234,11122,6656,15533,4497,4886,2755,60896,14113,15012,2914,4040,1708,6547,6,4,,,,,
03/29/2023,02/01/2020,02/29/2020,United States,2020,2,244966,224343,3324,48764,7766,10444,6147,14267,4067,4507,2599,56851,12818,14497,2910,3672,1471,6435,25,20,,,,,
03/29/2023,03/01/2020,03/31/2020,United States,2020,3,269806,247634,3669,51640,8433,11385,7579,15284,4499,4727,2808,60229,13742,15444,2874,3952,1693,7268,7175,6785,,,,,
03/29/2023,04/01/2020,04/30/2020,United States,2020,4,322424,300780,3366,48773,9440,12307,5781,13765,4026,4476,2826,62285,13420,15493,2569,3480,1756,7938,65553,62014,,,,,
03/29/2023,05/01/2020,05/31/2020,United States,2020,5,280564,255489,3085,49012,8361,10706,3612,12064,3489,4122,2524,56561,12776,18205,3365,3769,2067,9466,38330,35279,,,,,
03/29/2023,06/01/2020,06/30/2020,United States,2020,6,250456,225455,3036,47962,7629,9954,3074,10935,3281,4006,2496,53590,12315,17784,4026,3985,2261,8212,18026,15827,,,,,
03/29/2023,07/01/2020,07/31/2020,United States,2020,7,279012,252481,3127,50626,8641,11024,3333,11673,3309,4262,2887,57193,13024,18823,4107,4184,2426,8583,31135,28279,,,,,
03/29/2023,08/01/2020,08/31/2020,United States,2020,8,277282,251071,3268,51209,8302,10966,3209,11516,3391,4231,2793,56245,13094,18762,4226,4055,2348,8351,29913,27031,,,,,
03/29/2023,09/01/2020,09/30/2020,United States,2020,9,257190,232827,3136,49671,7994,10471,3083,11066,3303,3990,2583,53889,12771,17234,4083,3925,2191,7589,19158,16858,,,,,
03/29/2023,10/01/2020,10/31/2020,United States,2020,10,273906,249366,3250,51255,8316,11066,3339,11599,3558,4237,2687,56898,13615,17262,4192,3804,2368,7486,24930,22083,,,,,
